user,accuracy,mean_reaction_time,std_reaction_time,status,rating
2,0.975,1208.853659,431.4506178,not fatigue,2
2,0.966666667,1212.576613,531.894112,not fatigue,3
2,0.958333333,1249.208,532.1639962,not fatigue,5
2,0.958333333,1283.232,497.1019569,fatigue,6
2,0.949074074,1373.414097,539.222437,fatigue,6
2,0.967592593,1411.726457,522.3034753,fatigue,7
2,0.9375,1533.411765,695.5663228,fatigue,7
2,0.953125,1503.004975,711.0584048,fatigue,8
3,0.972222222,1447.941441,579.4316151,not fatigue,2
3,0.958333333,1844.811429,1339.236274,not fatigue,3
3,0.963541667,1602.603015,1052.136752,not fatigue,5
3,0.989583333,1675.056701,1043.964808,fatigue,6
3,0.964285714,1725.942529,1709.276163,fatigue,7
3,0.994047619,1847.502959,1129.785394,fatigue,7
3,0.976190476,1726.883721,1246.861472,fatigue,7
3,0.988095238,1978.994118,1433.68893,fatigue,8
4,0.983974359,952.3123028,269.3770596,not fatigue,3
4,0.982638889,1038.593857,358.622902,not fatigue,5
4,0.984848485,1102.041045,445.9300786,fatigue,6
4,0.961805556,1056.712375,404.4780018,fatigue,8
4,0.993589744,994.3407643,307.358334,fatigue,8
4,0.990384615,1006.542857,314.8960205,fatigue,7
4,0.986111111,1072.318493,347.5226185,fatigue,8
4,0.989583333,1073.683849,414.7761129,fatigue,8
5,0.965277778,2169.053691,1085.981309,not fatigue,2
5,0.976190476,1957.127907,802.8548083,not fatigue,3
5,1,1918.10119,897.7349517,not fatigue,5
5,0.979166667,2111.891156,941.3298457,fatigue,8
5,0.979166667,2087.278912,1035.36443,fatigue,8
5,0.958333333,2136.18,1345.65586,fatigue,9
5,0.972222222,2322.952703,1430.004102,fatigue,9
5,0.993055556,2270.793103,1156.17797,fatigue,9
7,0.979166667,2148.789116,1044.389375,not fatigue,1
7,0.976190476,1855.55814,725.5190859,not fatigue,3
7,0.958333333,2215.233333,1154.560845,fatigue,6
7,0.9375,2363.156863,1665.419258,fatigue,8
7,0.864583333,2729.642202,2934.171889,fatigue,9
7,0.927083333,2972.446602,2842.072831,fatigue,9
7,0.927083333,3294.368932,3753.003516,fatigue,9
7,0.930555556,3935.61039,4668.315424,fatigue,9
8,0.965277778,1035.04698,448.8048602,not fatigue,3
8,0.965277778,1041.110738,430.0217023,not fatigue,4
8,0.944444444,980.4177632,483.7176983,not fatigue,5
8,0.939393939,1064.35,637.2833631,fatigue,6
8,0.897727273,1006.71134,602.8047884,fatigue,7
8,0.928030303,1044.067138,664.3052515,fatigue,9
8,0.863636364,970.15,773.4213401,fatigue,9
8,0.939393939,1058.267857,816.9336691,fatigue,9
9,0.958333333,1576.17,1115.973064,not fatigue,4
9,0.964285714,1846.091954,1584.766277,not fatigue,4
9,0.952380952,1948.954545,1946.840068,fatigue,6
9,0.972222222,2339.439189,2729.457364,fatigue,7
9,0.958333333,2254.2,3411.979122,fatigue,8
9,0.883333333,2190.313433,3234.438063,fatigue,8
9,0.95,2503.214286,3871.94786,fatigue,9
9,0.958333333,2510.344,3615.988276,fatigue,9
10,0.975,1280.313008,547.4642357,not fatigue,4
10,0.9875,1273.074074,484.0119384,not fatigue,4
10,0.9625,1258.144578,493.5520563,not fatigue,5
10,0.991666667,1256.57438,482.5941534,fatigue,6
10,0.9875,1247.427984,447.1767704,fatigue,8
10,0.995833333,1278.215768,473.8569439,fatigue,7
10,0.984848485,1147.399254,500.2317676,fatigue,6
10,0.992424242,1162.699248,481.0934242,fatigue,7
11,1,1786.505208,801.7455433,not fatigue,1
11,0.994047619,1886.970414,875.0049213,not fatigue,2
11,0.982142857,1796.304094,958.5122239,not fatigue,5
11,0.984375,1742.753846,967.6535286,not fatigue,5
11,0.994791667,1743.704663,848.9366332,fatigue,7
11,0.963541667,1659.507538,812.540727,fatigue,7
11,0.984375,1706.594872,950.5866908,fatigue,7
11,0.973958333,1628.152284,880.7502235,fatigue,6
12,0.953125,1574.587065,638.9515033,not fatigue,2
12,0.953125,1514.626866,671.9998773,not fatigue,3
12,0.952380952,1688.903409,886.9051467,not fatigue,3
12,0.944444444,1405.894737,511.3618488,not fatigue,4
12,0.9375,1526.156863,710.2406897,not fatigue,4
12,0.921296296,1355.270386,550.4821631,not fatigue,5
12,0.953703704,1318.088496,560.2924484,not fatigue,4
12,0.939814815,1377.519651,553.4137326,fatigue,6
